year,speaker_country,country1,country2,n_speeches,freq1,freq2,score
2017,USA,SOM,SSD,3,14,15,13.64090909090909
2008,GBR,ISR,LBN,3,13,16,13.628571428571428
2011,MYS,ISR,PSE,4,16,14,13.614718614718615
2006,PSE,ISR,LBN,3,32,9,13.607843137254902
2019,SYR,TUR,USA,3,11,24,13.583838383838383
2011,LBN,ISR,PSE,3,14,15,13.56190476190476
2009,HRV,DJI,SOM,4,9,32,13.556060606060608
2017,GBR,SDN,SSD,4,10,22,13.527777777777777
2019,ECU,ISR,PSE,4,13,15,13.523809523809524
2013,MYS,ISR,PSE,3,24,10,13.522366522366521
2014,RWA,COD,COG,2,9,28,13.50537634408602
2010,SYR,ISR,LBN,4,63,8,13.49891774891775
2001,GBR,GIN,SLE,3,12,19,13.47549019607843
2009,FRA,DJI,SOM,4,12,17,13.457142857142856
2017,DJI,ERI,SOM,2,43,8,13.446428571428571
2006,CAN,ISR,LBN,2,13,16,13.413461538461538
2018,USA,IRN,LBN,4,69,8,13.406837606837605
2019,ISR,IRQ,YEM,4,16,12,13.4
1995,HRV,BIH,SRB,4,13,14,13.4
2010,GAB,SDN,SSD,3,19,11,13.380952380952381
2003,COD,COG,RWA,4,45,8,13.355555555555556
2018,CIV,BGD,MMR,2,10,20,13.333333333333334
2008,RUS,DJI,ERI,2,13,14,13.329545454545453
2017,GBR,ERI,SOM,2,13,14,13.318681318681318
1997,SWE,GHA,SLE,2,8,40,13.305263157894736
2016,NIC,ISR,PSE,3,19,11,13.3
2006,EGY,ISR,LBN,3,11,17,13.285353535353536
2014,IND,ISR,PSE,3,11,17,13.261904761904761
2009,DJI,ERI,SOM,1,25,9,13.235294117647058
2007,ITA,ISR,LBN,3,13,14,13.211538461538462
2017,USA,SOM,YEM,2,10,20,13.205741626794259
2017,UKR,SDN,SSD,3,14,18,13.172727272727272
2015,KWT,ISR,PSE,3,26,9,13.147727272727273
2017,ITA,BGD,MMR,3,9,25,13.114285714285714
2003,CUB,IRQ,USA,3,19,10,13.09090909090909
2006,GHA,ISR,PSE,4,19,11,13.057142857142857
2013,TGO,CAF,COG,2,20,10,13.055555555555555
2002,LBY,ISR,PSE,2,10,19,13.042105263157897
1998,SWE,LBR,SLE,2,8,35,13.01818181818182
2019,CHN,SDN,SSD,3,12,22,13.004870129870131
2001,MLI,LBR,SLE,3,10,25,13.002020202020203
1998,JPN,IND,PAK,2,13,13,13.0
2015,SYR,ISR,SAU,2,16,11,12.956521739130435
2017,UZB,ISR,PSE,3,16,11,12.952380952380953
2008,ITA,ISR,LBN,3,14,14,12.948051948051948
2007,IDN,ISR,LBN,3,13,17,12.944444444444443
2014,NGA,ISR,LBN,3,13,16,12.944444444444443
2003,MEX,LBR,SLE,4,21,11,12.933333333333334
2002,COD,BDI,COG,3,8,47,12.915824915824917
2017,USA,IRN,YEM,2,38,8,12.899047619047618
1996,GBR,ETH,SDN,3,11,22,12.865384615384615
2018,ETH,ISR,PSE,4,12,15,12.857142857142858
2014,GBR,AFG,CAN,1,18,10,12.857142857142858
2018,CHN,SWE,YEM,2,10,18,12.85
2013,VEN,ISR,PSE,4,15,12,12.845238095238095
2007,USA,ISR,LBN,3,11,19,12.843956043956045
2009,AUT,DJI,SOM,3,8,34,12.825358851674642
2003,MEX,IDN,TLS,4,8,37,12.813186813186814
2016,COD,COG,RWA,2,32,8,12.8
2000,FRA,AGO,COG,3,21,11,12.784313725490195
2006,FRA,SDN,TCD,4,11,18,12.763636363636364
2018,KWT,BGD,MMR,3,13,15,12.760989010989011
2001,ZWE,COG,UGA,2,76,7,12.728132387706856
2015,RUS,IRQ,LBY,4,16,11,12.714285714285715
2013,BGD,ISR,PSE,3,19,11,12.714285714285715
2019,CUB,USA,VEN,2,22,9,12.710526315789474
2018,FRA,CAF,COG,5,23,11,12.685714285714287
2014,RWA,ISR,LBN,3,11,15,12.677777777777779
1999,NLD,IDN,PRT,5,14,13,12.666666666666666
2014,LUX,ISR,PSE,3,16,11,12.657142857142857
2008,USA,IRN,IRQ,3,7,73,12.651069518716579
2006,USA,IRN,LBN,3,9,22,12.649572649572649
2014,LUX,ISR,LBN,3,14,14,12.644444444444446
2014,IRN,LBN,PSE,3,11,15,12.63888888888889
2015,CUB,ISR,PSE,4,18,11,12.622222222222222
2012,USA,CAF,COG,3,14,12,12.611538461538462
2001,SWE,GIN,SLE,2,10,18,12.6
2015,JOR,COG,LBR,1,17,10,12.592592592592593
2014,BGD,ISR,PSE,2,21,9,12.589285714285715
2006,GBR,IRN,LBN,3,8,32,12.584615384615384
2009,ISR,IRN,LBN,3,11,15,12.583333333333332
2018,PER,BGD,MMR,3,11,15,12.583333333333332
2019,BEL,IRN,USA,4,22,9,12.575396825396826
2002,SYR,ISR,PSE,4,28,11,12.55
2014,COD,RWA,UGA,2,21,9,12.48
2009,FRA,CAF,TCD,4,12,13,12.461538461538462
2016,AGO,ISR,PSE,3,21,9,12.45
2015,ISR,IRN,SAU,4,14,13,12.435714285714285
2019,FRA,ISR,USA,2,30,8,12.416666666666666
2015,NGA,ISR,PSE,4,12,13,12.4
2017,SYR,IRQ,TUR,4,17,10,12.399999999999999
2002,IRQ,PSE,USA,4,17,12,12.380952380952381
2014,AUS,NLD,UKR,3,8,31,12.366666666666667
2008,ERI,DJI,ETH,2,28,8,12.363636363636363
2000,FRA,COG,SLE,4,28,14,12.329411764705883
2002,MUS,ERI,ETH,2,13,12,12.319444444444445
2011,VEN,ISR,PSE,2,16,10,12.3
2015,COD,COG,UGA,3,56,7,12.28071928071928
2006,IRN,ISR,PSE,3,15,14,12.275
2015,SYR,IRQ,SAU,4,13,12,12.273015873015874
2000,FRA,IDN,TLS,4,10,20,12.272727272727273
2001,NOR,LBR,SLE,2,12,14,12.261904761904763
2001,FRA,COG,RWA,3,27,8,12.2
2013,FRA,ISR,LBN,4,12,16,12.19047619047619
2001,SWE,GIN,LBR,2,10,16,12.181818181818182
2013,NAM,ISR,PSE,2,9,19,12.128342245989305
2001,MLI,GIN,SLE,3,11,14,12.09090909090909
2012,PAK,ISR,PSE,3,16,10,12.054545454545455
2018,SAU,ISR,YEM,4,10,16,12.035714285714286
2006,SYR,ISR,USA,2,44,7,12.030303030303031
2000,CAN,IDN,TLS,3,19,9,12.016666666666666
2002,FRA,COG,RWA,1,15,10,12.0
2011,NGA,FRA,USA,6,12,12,12.0
2000,FRA,ERI,ETH,2,12,12,12.0
2011,NGA,FRA,PRT,6,12,12,12.0
