year,mentioned_country,n_meetings,n_speeches,n_mentions,n_speaker_countries,avg_speech_country,avg_speech_meeting,avg_mention_country,avg_mention_meeting,avg_mention_speech,mentioned_member
1996,ISL,6,6,6,2,3.0,1.0,3.0,1.0,1.0,G
1996,ISR,9,132,591,44,3.0,14.666666666666666,13.431818181818182,65.66666666666667,4.4772727272727275,G
1996,ITA,63,101,107,20,5.05,1.6031746031746033,5.35,1.6984126984126984,1.0594059405940595,R
1996,JOR,9,23,26,11,2.090909090909091,2.5555555555555554,2.3636363636363638,2.888888888888889,1.1304347826086956,G
1996,JPN,13,26,36,11,2.3636363636363638,2.0,3.272727272727273,2.769230769230769,1.3846153846153846,G
1996,KAZ,3,12,17,8,1.5,4.0,2.125,5.666666666666667,1.4166666666666667,G
1996,KEN,7,13,14,8,1.625,1.8571428571428572,1.75,2.0,1.0769230769230769,G
1996,KGZ,3,11,18,8,1.375,3.6666666666666665,2.25,6.0,1.6363636363636365,G
1996,KHM,5,25,38,23,1.0869565217391304,5.0,1.6521739130434783,7.6,1.52,G
1996,KOR,57,73,77,16,4.5625,1.280701754385965,4.8125,1.3508771929824561,1.0547945205479452,R
1996,KWT,9,15,20,9,1.6666666666666667,1.6666666666666667,2.2222222222222223,2.2222222222222223,1.3333333333333333,G
1996,LAO,1,2,7,1,2.0,2.0,7.0,7.0,3.5,G
1996,LBN,12,94,413,40,2.35,7.833333333333333,10.325,34.416666666666664,4.3936170212765955,G
1996,LBR,12,89,661,30,2.966666666666667,7.416666666666667,22.033333333333335,55.083333333333336,7.426966292134831,G
1996,LBY,2,2,3,2,1.0,1.0,1.5,1.5,1.5,G
1996,LKA,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1996,LSO,5,7,8,4,1.75,1.4,2.0,1.6,1.1428571428571428,G
1996,LTU,19,19,19,2,9.5,1.0,9.5,1.0,1.0,G
1996,LUX,2,2,4,2,1.0,1.0,2.0,2.0,2.0,G
1996,LVA,13,13,13,2,6.5,1.0,6.5,1.0,1.0,G
1996,MAR,9,14,22,5,2.8,1.5555555555555556,4.4,2.4444444444444446,1.5714285714285714,G
1996,MEX,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1996,MKD,2,19,84,15,1.2666666666666666,9.5,5.6,42.0,4.421052631578948,G
1996,MLI,5,7,10,4,1.75,1.4,2.5,2.0,1.4285714285714286,G
1996,MLT,19,19,19,2,9.5,1.0,9.5,1.0,1.0,G
1996,MMR,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1996,MNE,3,6,11,6,1.0,2.0,1.8333333333333333,3.6666666666666665,1.8333333333333333,G
1996,MOZ,7,33,39,20,1.65,4.714285714285714,1.95,5.571428571428571,1.1818181818181819,G
1996,MRT,2,2,4,2,1.0,1.0,2.0,2.0,2.0,G
1996,MWI,8,12,12,7,1.7142857142857142,1.5,1.7142857142857142,1.5,1.0,G
1996,MYS,12,20,30,5,4.0,1.6666666666666667,6.0,2.5,1.5,G
1996,NAM,6,11,12,7,1.5714285714285714,1.8333333333333333,1.7142857142857142,2.0,1.0909090909090908,G
1996,NGA,9,20,20,8,2.5,2.2222222222222223,2.5,2.2222222222222223,1.0,G
1996,NIC,3,10,13,6,1.6666666666666667,3.3333333333333335,2.1666666666666665,4.333333333333333,1.3,G
1996,NLD,4,4,6,4,1.0,1.0,1.5,1.5,1.5,G
1996,NOR,16,26,35,10,2.6,1.625,3.5,2.1875,1.3461538461538463,G
1996,NZL,2,8,11,4,2.0,4.0,2.75,5.5,1.375,G
1996,OMN,3,5,8,3,1.6666666666666667,1.6666666666666667,2.6666666666666665,2.6666666666666665,1.6,G
1996,PAK,14,36,81,15,2.4,2.5714285714285716,5.4,5.785714285714286,2.25,G
1996,PAN,2,5,6,3,1.6666666666666667,2.5,2.0,3.0,1.2,G
1996,PER,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1996,POL,67,97,101,18,5.388888888888889,1.4477611940298507,5.611111111111111,1.507462686567164,1.041237113402062,R
1996,PRT,7,27,35,17,1.588235294117647,3.857142857142857,2.0588235294117645,5.0,1.2962962962962963,G
1996,PSE,5,38,66,25,1.52,7.6,2.64,13.2,1.736842105263158,G
1996,QAT,1,1,3,1,1.0,1.0,3.0,3.0,3.0,G
1996,ROU,20,20,20,2,10.0,1.0,10.0,1.0,1.0,G
1996,RUS,62,139,169,36,3.861111111111111,2.2419354838709675,4.694444444444445,2.725806451612903,1.2158273381294964,P
1996,RWA,12,75,369,25,3.0,6.25,14.76,30.75,4.92,G
1996,SAU,10,14,20,4,3.5,1.4,5.0,2.0,1.4285714285714286,G
1996,SDN,5,54,308,17,3.176470588235294,10.8,18.11764705882353,61.6,5.703703703703703,G
1996,SEN,2,2,2,2,1.0,1.0,1.0,1.0,1.0,G
1996,SLE,7,7,29,6,1.1666666666666667,1.0,4.833333333333333,4.142857142857143,4.142857142857143,G
1996,SLV,5,9,9,8,1.125,1.8,1.125,1.8,1.0,G
1996,SOM,12,51,392,34,1.5,4.25,11.529411764705882,32.666666666666664,7.686274509803922,G
1996,SRB,3,8,13,8,1.0,2.6666666666666665,1.625,4.333333333333333,1.625,G
1996,STP,1,3,3,1,3.0,3.0,3.0,3.0,1.0,G
1996,SVK,22,22,22,2,11.0,1.0,11.0,1.0,1.0,G
1996,SVN,9,9,9,2,4.5,1.0,4.5,1.0,1.0,G
1996,SWE,5,5,7,4,1.25,1.0,1.75,1.4,1.4,G
1996,SWZ,2,4,4,2,2.0,2.0,2.0,2.0,1.0,G
1996,SYC,1,1,4,1,1.0,1.0,4.0,4.0,4.0,G
1996,SYR,5,9,10,2,4.5,1.8,5.0,2.0,1.1111111111111112,G
1996,TCD,2,2,3,2,1.0,1.0,1.5,1.5,1.5,G
1996,TJK,9,16,24,9,1.7777777777777777,1.7777777777777777,2.6666666666666665,2.6666666666666665,1.5,G
1996,TKM,4,7,11,3,2.3333333333333335,1.75,3.6666666666666665,2.75,1.5714285714285714,G
1996,TUN,18,41,57,12,3.4166666666666665,2.2777777777777777,4.75,3.1666666666666665,1.3902439024390243,G
1996,TUR,11,15,24,4,3.75,1.3636363636363635,6.0,2.1818181818181817,1.6,G
1996,TZA,11,31,36,16,1.9375,2.8181818181818183,2.25,3.272727272727273,1.1612903225806452,G
1996,UGA,6,14,31,7,2.0,2.3333333333333335,4.428571428571429,5.166666666666667,2.2142857142857144,G
1996,UKR,2,4,6,2,2.0,2.0,3.0,3.0,1.5,G
1996,URY,2,5,5,4,1.25,2.5,1.25,2.5,1.0,G
1996,USA,70,197,338,51,3.8627450980392157,2.8142857142857145,6.627450980392157,4.828571428571428,1.715736040609137,P
1996,UZB,5,16,21,9,1.7777777777777777,3.2,2.3333333333333335,4.2,1.3125,G
1996,VNM,1,4,5,2,2.0,4.0,2.5,5.0,1.25,G
1996,YEM,7,10,14,4,2.5,1.4285714285714286,3.5,2.0,1.4,G
1996,ZAF,11,32,39,17,1.8823529411764706,2.909090909090909,2.2941176470588234,3.5454545454545454,1.21875,G
1996,ZMB,7,15,21,6,2.5,2.142857142857143,3.5,3.0,1.4,G
1996,ZWE,9,29,39,14,2.0714285714285716,3.2222222222222223,2.7857142857142856,4.333333333333333,1.3448275862068966,G
1997,AFG,11,45,344,23,1.9565217391304348,4.090909090909091,14.956521739130435,31.272727272727273,7.644444444444445,G
1997,AGO,13,123,835,38,3.236842105263158,9.461538461538462,21.973684210526315,64.23076923076923,6.788617886178862,G
1997,ALB,10,54,272,25,2.16,5.4,10.88,27.2,5.037037037037037,G
1997,ARE,4,4,6,2,2.0,1.0,3.0,1.5,1.5,G
1997,ARG,15,30,43,10,3.0,2.0,4.3,2.8666666666666667,1.4333333333333333,G
1997,ARM,2,3,9,2,1.5,1.5,4.5,4.5,3.0,G
1997,AUT,4,5,9,5,1.0,1.25,1.8,2.25,1.8,G
1997,AZE,1,3,5,2,1.5,3.0,2.5,5.0,1.6666666666666667,G
1997,BDI,6,7,18,6,1.1666666666666667,1.1666666666666667,3.0,3.0,2.5714285714285716,G
1997,BEL,5,6,14,6,1.0,1.2,2.3333333333333335,2.8,2.3333333333333335,G
1997,BFA,1,3,3,3,1.0,3.0,1.0,3.0,1.0,G
1997,BGD,4,5,5,2,2.5,1.25,2.5,1.25,1.0,G
1997,BGR,10,10,10,2,5.0,1.0,5.0,1.0,1.0,G
1997,BHR,4,5,5,2,2.5,1.25,2.5,1.25,1.0,G
1997,BHS,1,1,3,1,1.0,1.0,3.0,3.0,3.0,G
1997,BIH,14,51,287,29,1.7586206896551724,3.642857142857143,9.89655172413793,20.5,5.627450980392157,G
1997,BRA,12,24,33,10,2.4,2.0,3.3,2.75,1.375,G
1997,BRB,1,1,2,1,1.0,1.0,2.0,2.0,2.0,G
1997,BWA,2,3,3,2,1.5,1.5,1.5,1.5,1.0,G
1997,CAF,5,21,62,16,1.3125,4.2,3.875,12.4,2.9523809523809526,G
1997,CAN,11,25,35,12,2.0833333333333335,2.272727272727273,2.9166666666666665,3.1818181818181817,1.4,G
1997,CHE,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1997,CHL,43,47,48,13,3.6153846153846154,1.0930232558139534,3.6923076923076925,1.1162790697674418,1.0212765957446808,R
